

*******************************************************************************
Ephemeris / WWW_USER Tue May 30 06:46:32 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Uranus (799)                    {source: ura116}
Center body name: Sun (10)                        {source: ura116}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 1980-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_URANUS                      {East-longitude positive}
Target radii    : 25559.0, 25559.0, 24973.0 km    {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6.96E5               {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: ura116}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.230528.p230821                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-28. PREDICTS-> 2023-AUG-20
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),             delta,     deldot,
*******************************************************************************
$$SOE
 1980-Mar-16 00:00, , ,   230.78194,  -18.28113,  18.7386062603595,  0.2966487,
 1980-Mar-17 00:00, , ,   230.79444,  -18.28437,  18.7387776241518,  0.2967759,
 1980-Mar-18 00:00, , ,   230.80694,  -18.28761,  18.7389490242266,  0.2967308,
 1980-Mar-19 00:00, , ,   230.81943,  -18.29086,  18.7391203794617,  0.2966886,
 1980-Mar-20 00:00, , ,   230.83193,  -18.29410,  18.7392917557528,  0.2967665,
 1980-Mar-21 00:00, , ,   230.84443,  -18.29734,  18.7394631522211,  0.2967727,
 1980-Mar-22 00:00, , ,   230.85693,  -18.30057,  18.7396345790703,  0.2968668,
 1980-Mar-23 00:00, , ,   230.86942,  -18.30381,  18.7398060388456,  0.2968559,
 1980-Mar-24 00:00, , ,   230.88192,  -18.30705,  18.7399774834014,  0.2968830,
 1980-Mar-25 00:00, , ,   230.89442,  -18.31028,  18.7401489827991,  0.2969795,
 1980-Mar-26 00:00, , ,   230.90692,  -18.31352,  18.7403204849529,  0.2969021,
 1980-Mar-27 00:00, , ,   230.91942,  -18.31675,  18.7404919533323,  0.2968995,
 1980-Mar-28 00:00, , ,   230.93192,  -18.31999,  18.7406634222219,  0.2968722,
 1980-Mar-29 00:00, , ,   230.94442,  -18.32322,  18.7408348852340,  0.2969216,
 1980-Mar-30 00:00, , ,   230.95692,  -18.32645,  18.7410064160472,  0.2970531,
 1980-Mar-31 00:00, , ,   230.96942,  -18.32968,  18.7411779735789,  0.2970381,
 1980-Apr-01 00:00, , ,   230.98192,  -18.33291,  18.7413495549229,  0.2971591,
 1980-Apr-02 00:00, , ,   230.99442,  -18.33614,  18.7415212137666,  0.2972461,
 1980-Apr-03 00:00, , ,   231.00692,  -18.33937,  18.7416928862587,  0.2972558,
 1980-Apr-04 00:00, , ,   231.01942,  -18.34260,  18.7418645723779,  0.2972567,
 1980-Apr-05 00:00, , ,   231.03192,  -18.34582,  18.7420362188394,  0.2971399,
 1980-Apr-06 00:00, , ,   231.04442,  -18.34905,  18.7422078385314,  0.2971966,
 1980-Apr-07 00:00, , ,   231.05692,  -18.35227,  18.7423794967986,  0.2972129,
 1980-Apr-08 00:00, , ,   231.06943,  -18.35550,  18.7425511364629,  0.2971825,
 1980-Apr-09 00:00, , ,   231.08193,  -18.35872,  18.7427228025455,  0.2972798,
 1980-Apr-10 00:00, , ,   231.09443,  -18.36194,  18.7428945048174,  0.2973140,
 1980-Apr-11 00:00, , ,   231.10694,  -18.36516,  18.7430662479718,  0.2974314,
 1980-Apr-12 00:00, , ,   231.11944,  -18.36838,  18.7432380431757,  0.2974350,
 1980-Apr-13 00:00, , ,   231.13194,  -18.37160,  18.7434098006884,  0.2973772,
 1980-Apr-14 00:00, , ,   231.14445,  -18.37482,  18.7435815738450,  0.2974632,
 1980-Apr-15 00:00, , ,   231.15695,  -18.37804,  18.7437533749807,  0.2974530,
 1980-Apr-16 00:00, , ,   231.16946,  -18.38126,  18.7439251793327,  0.2975098,
 1980-Apr-17 00:00, , ,   231.18196,  -18.38447,  18.7440970176117,  0.2975324,
 1980-Apr-18 00:00, , ,   231.19447,  -18.38769,  18.7442688547844,  0.2975546,
 1980-Apr-19 00:00, , ,   231.20697,  -18.39090,  18.7444407521257,  0.2976948,
 1980-Apr-20 00:00, , ,   231.21948,  -18.39412,  18.7446126760622,  0.2976384,
 1980-Apr-21 00:00, , ,   231.23198,  -18.39733,  18.7447845592520,  0.2976063,
 1980-Apr-22 00:00, , ,   231.24449,  -18.40054,  18.7449564444705,  0.2975951,
 1980-Apr-23 00:00, , ,   231.25700,  -18.40375,  18.7451283077576,  0.2975763,
 1980-Apr-24 00:00, , ,   231.26950,  -18.40696,  18.7453001957738,  0.2976553,
