

*******************************************************************************
Ephemeris / WWW_USER Tue May 30 06:45:58 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Saturn (699)                    {source: sat441l}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 1980-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_SATURN                      {West-longitude positive}
Target radii    : 60268.0, 60268.0, 54364.0 km    {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6.96E5               {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Gregorian
EOP file        : eop.230528.p230821                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-28. PREDICTS-> 2023-AUG-20
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),             delta,     deldot,
*******************************************************************************
$$SOE
 1980-Mar-09 00:00, , ,   175.11650,    4.45870,  9.43979948278091,  0.5268022,
 1980-Mar-10 00:00, , ,   175.14826,    4.44582,  9.44010390500795,  0.5273902,
 1980-Mar-11 00:00, , ,   175.18001,    4.43295,  9.44040862768737,  0.5277952,
 1980-Mar-12 00:00, , ,   175.21177,    4.42007,  9.44071355162333,  0.5281216,
 1980-Mar-13 00:00, , ,   175.24352,    4.40719,  9.44101861428308,  0.5282387,
 1980-Mar-14 00:00, , ,   175.27527,    4.39432,  9.44132368917110,  0.5281989,
 1980-Mar-15 00:00, , ,   175.30701,    4.38144,  9.44162869421957,  0.5279653,
 1980-Mar-16 00:00, , ,   175.33876,    4.36856,  9.44193350280598,  0.5275194,
 1980-Mar-17 00:00, , ,   175.37051,    4.35568,  9.44223799430705,  0.5269305,
 1980-Mar-18 00:00, , ,   175.40225,    4.34280,  9.44254219321560,  0.5264999,
 1980-Mar-19 00:00, , ,   175.43398,    4.32992,  9.44284615051846,  0.5261000,
 1980-Mar-20 00:00, , ,   175.46572,    4.31704,  9.44314993518793,  0.5259077,
 1980-Mar-21 00:00, , ,   175.49744,    4.30416,  9.44345363942822,  0.5258318,
 1980-Mar-22 00:00, , ,   175.52917,    4.29128,  9.44375735471701,  0.5259351,
 1980-Mar-23 00:00, , ,   175.56089,    4.27840,  9.44406119759481,  0.5263010,
 1980-Mar-24 00:00, , ,   175.59260,    4.26552,  9.44436530457683,  0.5267765,
 1980-Mar-25 00:00, , ,   175.62431,    4.25264,  9.44466966524620,  0.5272265,
 1980-Mar-26 00:00, , ,   175.65602,    4.23975,  9.44497431179750,  0.5277201,
 1980-Mar-27 00:00, , ,   175.68772,    4.22687,  9.44527922640946,  0.5281678,
 1980-Mar-28 00:00, , ,   175.71942,    4.21398,  9.44558437383184,  0.5285093,
 1980-Mar-29 00:00, , ,   175.75113,    4.20110,  9.44588967864970,  0.5286988,
 1980-Mar-30 00:00, , ,   175.78283,    4.18822,  9.44619499525290,  0.5285268,
 1980-Mar-31 00:00, , ,   175.81452,    4.17533,  9.44650016734647,  0.5282573,
 1980-Apr-01 00:00, , ,   175.84622,    4.16245,  9.44680514838547,  0.5278425,
 1980-Apr-02 00:00, , ,   175.87792,    4.14956,  9.44710986107236,  0.5273464,
 1980-Apr-03 00:00, , ,   175.90961,    4.13667,  9.44741427775130,  0.5268339,
 1980-Apr-04 00:00, , ,   175.94129,    4.12379,  9.44771842836325,  0.5264254,
 1980-Apr-05 00:00, , ,   175.97298,    4.11090,  9.44802236747663,  0.5261571,
 1980-Apr-06 00:00, , ,   176.00466,    4.09801,  9.44832625897667,  0.5262162,
 1980-Apr-07 00:00, , ,   176.03633,    4.08512,  9.44863020476818,  0.5263420,
 1980-Apr-08 00:00, , ,   176.06800,    4.07223,  9.44893426650640,  0.5266228,
 1980-Apr-09 00:00, , ,   176.09966,    4.05935,  9.44923852924966,  0.5270498,
 1980-Apr-10 00:00, , ,   176.13132,    4.04646,  9.44954307304503,  0.5275480,
 1980-Apr-11 00:00, , ,   176.16298,    4.03357,  9.44984791322496,  0.5281057,
 1980-Apr-12 00:00, , ,   176.19464,    4.02068,  9.45015305852455,  0.5285350,
 1980-Apr-13 00:00, , ,   176.22629,    4.00778,  9.45045838310604,  0.5287743,
 1980-Apr-14 00:00, , ,   176.25794,    3.99489,  9.45076382768786,  0.5289193,
 1980-Apr-15 00:00, , ,   176.28959,    3.98200,  9.45106930564426,  0.5288884,
 1980-Apr-16 00:00, , ,   176.32124,    3.96911,  9.45137467995996,  0.5285630,
 1980-Apr-17 00:00, , ,   176.35289,    3.95622,  9.45167983038085,  0.5281277,
 1980-Apr-18 00:00, , ,   176.38454,    3.94333,  9.45198468088427,  0.5275321,
 1980-Apr-19 00:00, , ,   176.41618,    3.93043,  9.45228921643525,  0.5270893,
 1980-Apr-20 00:00, , ,   176.44782,    3.91754,  9.45259352910676,  0.5267374,
 1980-Apr-21 00:00, , ,   176.47945,    3.90465,  9.45289766838430,  0.5264830,
 1980-Apr-22 00:00, , ,   176.51108,    3.89175,  9.45320169918987,  0.5264062,
 1980-Apr-23 00:00, , ,   176.54271,    3.87886,  9.45350577090466,  0.5265902,
 1980-Apr-24 00:00, , ,   176.57433,    3.86596,  9.45380997653638,  0.5268960,
 1980-Apr-25 00:00, , ,   176.60594,    3.85307,  9.45411442767105,  0.5273856,
 1980-Apr-26 00:00, , ,   176.63755,    3.84017,  9.45441914524769,  0.5278289,
 1980-Apr-27 00:00, , ,   176.66916,    3.82728,  9.45472412178287,  0.5282825,
 1980-Apr-28 00:00, , ,   176.70077,    3.81438,  9.45502937146717,  0.5287755,
 1980-Apr-29 00:00, , ,   176.73237,    3.80149,  9.45533487131644,  0.5290820,
 1980-Apr-30 00:00, , ,   176.76398,    3.78859,  9.45564047862759,  0.5291982,
 1980-May-01 00:00, , ,   176.79558,    3.77569,  9.45594609298321,  0.5290633,
 1980-May-02 00:00, , ,   176.82718,    3.76280,  9.45625156203457,  0.5287377,
 1980-May-03 00:00, , ,   176.85878,    3.74990,  9.45655681970239,  0.5283276,
 1980-May-04 00:00, , ,   176.89038,    3.73700,  9.45686182074735,  0.5278499,
 1980-May-05 00:00, , ,   176.92197,    3.72410,  9.45716650386985,  0.5272570,
 1980-May-06 00:00, , ,   176.95356,    3.71121,  9.45747090600704,  0.5268967,
 1980-May-07 00:00, , ,   176.98515,    3.69831,  9.45777513895466,  0.5266673,
 1980-May-08 00:00, , ,   177.01673,    3.68541,  9.45807930743117,  0.5266853,
 1980-May-09 00:00, , ,   177.04831,    3.67251,  9.45838353021594,  0.5268383,
 1980-May-10 00:00, , ,   177.07988,    3.65961,  9.45868787904627,  0.5270988,
 1980-May-11 00:00, , ,   177.11145,    3.64671,  9.45899240963744,  0.5275220,
 1980-May-12 00:00, , ,   177.14301,    3.63381,  9.45929724702653,  0.5280905,
 1980-May-13 00:00, , ,   177.17457,    3.62091,  9.45960238011526,  0.5285591,
 1980-May-14 00:00, , ,   177.20613,    3.60801,  9.45990777942614,  0.5289796,
 1980-May-15 00:00, , ,   177.23769,    3.59511,  9.46021337217614,  0.5292477,
 1980-May-16 00:00, , ,   177.26925,    3.58221,  9.46051907369984,  0.5293399,
 1980-May-17 00:00, , ,   177.30080,    3.56930,  9.46082479347506,  0.5293151,
 1980-May-18 00:00, , ,   177.33236,    3.55640,  9.46113041649397,  0.5289630,
 1980-May-19 00:00, , ,   177.36391,    3.54350,  9.46143577005370,  0.5284636,
 1980-May-20 00:00, , ,   177.39546,    3.53060,  9.46174083257281,  0.5279368,
 1980-May-21 00:00, , ,   177.42701,    3.51770,  9.46204560334902,  0.5274718,
 1980-May-22 00:00, , ,   177.45855,    3.50480,  9.46235012690742,  0.5270975,
 1980-May-23 00:00, , ,   177.49009,    3.49189,  9.46265448506926,  0.5268881,
 1980-May-24 00:00, , ,   177.52162,    3.47899,  9.46295873980625,  0.5267662,
 1980-May-25 00:00, , ,   177.55315,    3.46609,  9.46326302839567,  0.5269995,
 1980-May-26 00:00, , ,   177.58468,    3.45318,  9.46356748817461,  0.5273384,
 1980-May-27 00:00, , ,   177.61620,    3.44028,  9.46387216884665,  0.5277532,
 1980-May-28 00:00, , ,   177.64772,    3.42738,  9.46417710174258,  0.5282207,
 1980-May-29 00:00, , ,   177.67923,    3.41447,  9.46448231881676,  0.5286956,
 1980-May-30 00:00, , ,   177.71074,    3.40157,  9.46478778950508,  0.5291455,
 1980-May-31 00:00, , ,   177.74225,    3.38866,  9.46509351110987,  0.5294823,
 1980-Jun-01 00:00, , ,   177.77376,    3.37576,  9.46539933185525,  0.5295144,
 1980-Jun-02 00:00, , ,   177.80527,    3.36285,  9.46570511967518,  0.5293705,
 1980-Jun-03 00:00, , ,   177.83678,    3.34995,  9.46601078119057,  0.5290949,
 1980-Jun-04 00:00, , ,   177.86829,    3.33705,  9.46631622927521,  0.5286149,
 1980-Jun-05 00:00, , ,   177.89979,    3.32414,  9.46662138839129,  0.5281285,
 1980-Jun-06 00:00, , ,   177.93129,    3.31124,  9.46692624657790,  0.5275633,
 1980-Jun-07 00:00, , ,   177.96279,    3.29833,  9.46723080907865,  0.5271693,
 1980-Jun-08 00:00, , ,   177.99428,    3.28542,  9.46753521801959,  0.5270048,
 1980-Jun-09 00:00, , ,   178.02577,    3.27252,  9.46783958680085,  0.5270108,
 1980-Jun-10 00:00, , ,   178.05725,    3.25961,  9.46814397790113,  0.5271169,
 1980-Jun-11 00:00, , ,   178.08873,    3.24671,  9.46844850354250,  0.5274475,
 1980-Jun-12 00:00, , ,   178.12020,    3.23380,  9.46875323584094,  0.5278429,
 1980-Jun-13 00:00, , ,   178.15167,    3.22089,  9.46905825490795,  0.5284162,
 1980-Jun-14 00:00, , ,   178.18314,    3.20799,  9.46936358323620,  0.5288985,
 1980-Jun-15 00:00, , ,   178.21461,    3.19508,  9.46966915572854,  0.5292440,
 1980-Jun-16 00:00, , ,   178.24607,    3.18217,  9.46997490363507,  0.5295354,
 1980-Jun-17 00:00, , ,   178.27754,    3.16927,  9.47028078803438,  0.5296564,
 1980-Jun-18 00:00, , ,   178.30900,    3.15636,  9.47058665885772,  0.5295372,
 1980-Jun-19 00:00, , ,   178.34046,    3.14345,  9.47089241222248,  0.5292016,
 1980-Jun-20 00:00, , ,   178.37192,    3.13055,  9.47119790262777,  0.5286761,
 1980-Jun-21 00:00, , ,   178.40338,    3.11764,  9.47150308118965,  0.5281461,
 1980-Jun-22 00:00, , ,   178.43484,    3.10473,  9.47180798713095,  0.5277341,
 1980-Jun-23 00:00, , ,   178.46629,    3.09183,  9.47211265166659,  0.5272963,
 1980-Jun-24 00:00, , ,   178.49773,    3.07892,  9.47241711760123,  0.5270913,
 1980-Jun-25 00:00, , ,   178.52918,    3.06601,  9.47272151425309,  0.5270415,
 1980-Jun-26 00:00, , ,   178.56061,    3.05310,  9.47302594925511,  0.5272350,
 1980-Jun-27 00:00, , ,   178.59205,    3.04019,  9.47333055036241,  0.5275946,
 1980-Jun-28 00:00, , ,   178.62348,    3.02729,  9.47363538563765,  0.5280127,
 1980-Jun-29 00:00, , ,   178.65490,    3.01438,  9.47394044691417,  0.5284275,
 1980-Jun-30 00:00, , ,   178.68633,    3.00147,  9.47424580066548,  0.5289728,
 1980-Jul-01 00:00, , ,   178.71775,    2.98856,  9.47455143171500,  0.5293846,
 1980-Jul-02 00:00, , ,   178.74917,    2.97565,  9.47485727070661,  0.5296730,
 1980-Jul-03 00:00, , ,   178.78059,    2.96275,  9.47516320489368,  0.5297220,
 1980-Jul-04 00:00, , ,   178.81201,    2.94984,  9.47546910270124,  0.5295289,
 1980-Jul-05 00:00, , ,   178.84342,    2.93693,  9.47577485234447,  0.5292576,
 1980-Jul-06 00:00, , ,   178.87484,    2.92402,  9.47608040735479,  0.5288029,
 1980-Jul-07 00:00, , ,   178.90625,    2.91111,  9.47638564386071,  0.5282209,
 1980-Jul-08 00:00, , ,   178.93766,    2.89821,  9.47669056535670,  0.5277022,
 1980-Jul-09 00:00, , ,   178.96907,    2.88530,  9.47699522481589,  0.5273429,
 1980-Jul-10 00:00, , ,   179.00047,    2.87239,  9.47729972141157,  0.5271468,
 1980-Jul-11 00:00, , ,   179.03187,    2.85948,  9.47760417967877,  0.5271889,
 1980-Jul-12 00:00, , ,   179.06326,    2.84657,  9.47790867251228,  0.5272601,
 1980-Jul-13 00:00, , ,   179.09465,    2.83366,  9.47821327410791,  0.5275998,
 1980-Jul-14 00:00, , ,   179.12604,    2.82075,  9.47851811634887,  0.5280619,
 1980-Jul-15 00:00, , ,   179.15742,    2.80785,  9.47882324625528,  0.5285672,
 1980-Jul-16 00:00, , ,   179.18880,    2.79494,  9.47912865311505,  0.5290331,
 1980-Jul-17 00:00, , ,   179.22018,    2.78203,  9.47943431565038,  0.5294134,
 1980-Jul-18 00:00, , ,   179.25155,    2.76912,  9.47974014074267,  0.5296411,
 1980-Jul-19 00:00, , ,   179.28293,    2.75621,  9.48004609431465,  0.5297955,
 1980-Jul-20 00:00, , ,   179.31430,    2.74330,  9.48035204186786,  0.5296321,
 1980-Jul-21 00:00, , ,   179.34567,    2.73040,  9.48065782408527,  0.5292349,
 1980-Jul-22 00:00, , ,   179.37705,    2.71749,  9.48096334438672,  0.5287580,
 1980-Jul-23 00:00, , ,   179.40841,    2.70458,  9.48126857529307,  0.5282120,
 1980-Jul-24 00:00, , ,   179.43978,    2.69167,  9.48157350690686,  0.5277794,
 1980-Jul-25 00:00, , ,   179.47114,    2.67876,  9.48187821099972,  0.5273818,
 1980-Jul-26 00:00, , ,   179.50250,    2.66586,  9.48218271017109,  0.5271213,
 1980-Jul-27 00:00, , ,   179.53386,    2.65295,  9.48248713753696,  0.5271273,
 1980-Jul-28 00:00, , ,   179.56521,    2.64004,  9.48279164003018,  0.5273645,
 1980-Jul-29 00:00, , ,   179.59655,    2.62713,  9.48309629235321,  0.5276480,
 1980-Jul-30 00:00, , ,   179.62789,    2.61422,  9.48340116292333,  0.5280994,
 1980-Jul-31 00:00, , ,   179.65923,    2.60131,  9.48370628503111,  0.5285199,
 1980-Aug-01 00:00, , ,   179.69057,    2.58841,  9.48401167932946,  0.5290477,
 1980-Aug-02 00:00, , ,   179.72190,    2.57550,  9.48431736292573,  0.5294868,
 1980-Aug-03 00:00, , ,   179.75324,    2.56259,  9.48462324649681,  0.5297030,
 1980-Aug-04 00:00, , ,   179.78457,    2.54968,  9.48492918348454,  0.5297270,
 1980-Aug-05 00:00, , ,   179.81590,    2.53677,  9.48523510247778,  0.5295935,
 1980-Aug-06 00:00, , ,   179.84723,    2.52387,  9.48554086915232,  0.5292421,
 1980-Aug-07 00:00, , ,   179.87856,    2.51096,  9.48584641414780,  0.5287939,
 1980-Aug-08 00:00, , ,   179.90988,    2.49805,  9.48615164989814,  0.5282130,
 1980-Aug-09 00:00, , ,   179.94121,    2.48515,  9.48645655193271,  0.5276613,
 1980-Aug-10 00:00, , ,   179.97253,    2.47224,  9.48676120445020,  0.5273681,
 1980-Aug-11 00:00, , ,   180.00384,    2.45933,  9.48706572598480,  0.5271675,
 1980-Aug-12 00:00, , ,   180.03516,    2.44642,  9.48737017411171,  0.5271646,
 1980-Aug-13 00:00, , ,   180.06646,    2.43352,  9.48767467009907,  0.5272972,
 1980-Aug-14 00:00, , ,   180.09777,    2.42061,  9.48797929166913,  0.5276147,
 1980-Aug-15 00:00, , ,   180.12906,    2.40770,  9.48828414384178,  0.5280916,
 1980-Aug-16 00:00, , ,   180.16036,    2.39480,  9.48858930022755,  0.5286231,
 1980-Aug-17 00:00, , ,   180.19165,    2.38189,  9.48889471401752,  0.5289988,
 1980-Aug-18 00:00, , ,   180.22295,    2.36898,  9.48920036233849,  0.5294184,
 1980-Aug-19 00:00, , ,   180.25424,    2.35608,  9.48950620399411,  0.5296638,
 1980-Aug-20 00:00, , ,   180.28553,    2.34317,  9.48981214500858,  0.5297469,
 1980-Aug-21 00:00, , ,   180.31682,    2.33027,  9.49011806283455,  0.5295825,
 1980-Aug-22 00:00, , ,   180.34811,    2.31736,  9.49042381495358,  0.5291564,
 1980-Aug-23 00:00, , ,   180.37939,    2.30445,  9.49072927588039,  0.5286596,
 1980-Aug-24 00:00, , ,   180.41068,    2.29155,  9.49103446987501,  0.5281780,
 1980-Aug-25 00:00, , ,   180.44196,    2.27864,  9.49133936564767,  0.5276684,
 1980-Aug-26 00:00, , ,   180.47324,    2.26574,  9.49164400213711,  0.5272788,
 1980-Aug-27 00:00, , ,   180.50451,    2.25283,  9.49194845852660,  0.5270733,
