Date,GJupiter,GLuna,GMars,GMercury,GNeptune,GSaturn,GUranus,GVenus
04/04/1980,151.2848753,231.7878756,146.1796514,346.933447,262.9233668,172.3318787,235.3306581,60.45760256
04/05/1980,151.2186097,244.1035814,146.1568585,348.0058248,262.9173934,172.2624164,235.3021684,61.44636603
04/06/1980,151.1551682,256.6131197,146.1464515,349.1196451,262.9108811,172.1938409,235.2730442,62.42785621
04/07/1980,151.0945906,269.3589023,146.1482771,350.2731084,262.9038486,172.1261794,235.2432948,63.40185389
04/08/1980,151.0368943,282.3881808,146.16222,351.4645777,262.8962953,172.0594804,235.2129384,64.36812691
04/09/1980,150.9821189,295.7487348,146.1881348,352.6925792,262.8882124,171.993753,235.1819748,65.32645879
04/10/1980,150.9302766,309.4812495,146.2258981,353.9557936,262.8796184,171.9290598,235.150425,66.27660354
04/11/1980,150.881416,323.6084764,146.2753564,355.2530715,262.8705134,171.865423,235.1182979,67.21830315
04/12/1980,150.8355642,338.1223368,146.3363657,356.5833478,262.8608968,171.802874,235.085605,68.15127824
04/13/1980,150.7927241,352.9718375,146.4087984,357.9457159,262.8507692,171.7414531,235.0523716,69.0752602
04/14/1980,150.7529284,8.056885644,146.492493,359.3393764,262.8401495,171.6811917,235.018609,69.98991545
04/15/1980,150.7162056,23.23325127,146.5872918,0.763645429,262.8290275,171.622125,234.9843264,70.89491476
04/16/1980,150.6825537,38.33130862,146.6930408,2.21794347,262.8174129,171.5642803,234.9495355,71.78989557
04/17/1980,150.6519924,53.18451592,146.8095702,3.701772205,262.805315,171.5076878,234.9142727,72.67448105
04/18/1980,150.6245324,67.65816136,146.9366741,5.214761527,262.7927431,171.4523759,234.8785381,73.54826807
04/19/1980,150.6001897,81.66842029,147.0741717,6.756609617,262.7796878,171.3983787,234.8423525,74.41082202
04/20/1980,150.5789571,95.18716481,147.2218573,8.327086562,262.7661677,171.3457104,234.8057457,75.26170265
04/21/1980,150.5608469,108.2350426,147.3795377,9.926067867,262.7521927,171.2944023,234.7687128,76.10045993
04/22/1980,150.5458409,120.8682639,147.5470014,11.55345525,262.7377616,171.2444674,234.7312794,76.9266272
04/23/1980,150.5339445,133.1644518,147.7240498,13.20926157,262.7228754,171.1959369,234.6934707,77.73971073
04/24/1980,150.5251541,145.2106683,147.9104734,14.89348068,262.7075522,171.1488291,234.6552889,78.53920096
04/25/1980,150.5194549,157.0943059,148.106071,16.6062066,262.6918019,171.103157,234.6167616,79.32458575
04/26/1980,150.5168616,168.8968667,148.3106583,18.34753648,262.6756144,171.0589517,234.5779004,80.09532519
04/27/1980,150.5173505,180.6898254,148.5240325,20.11758944,262.6590085,171.0162224,234.5387328,80.85085991
04/28/1980,150.5209237,192.5322297,148.7459942,21.91648498,262.6419846,170.9749913,234.4992564,81.5906104
04/29/1980,150.527572,204.4696187,148.9763781,23.74433671,262.6245514,170.9352672,234.4594966,82.31398469
04/30/1980,150.5372648,216.5344959,149.2149955,25.60122653,262.6067281,170.8970817,234.4194696,83.02036024
05/01/1980,150.5500022,228.7480872,149.4616662,27.48716289,262.588496,170.8604345,234.3791935,83.70909292
05/02/1980,150.5657752,241.1236125,149.7162172,29.40210147,262.5698917,170.8253438,234.3386892,84.37952529
05/03/1980,150.5845806,253.6704885,149.9784937,31.34587309,262.5508972,170.7918358,234.2979567,85.03098518
05/04/1980,150.6063877,266.3988981,150.2483384,33.31816266,262.5315213,170.7598933,234.2570351,85.66276028
05/05/1980,150.6312095,279.3235979,150.5256031,35.31848551,262.5117922,170.7295647,234.2159127,86.27412195
05/06/1980,150.6590118,292.4659885,150.8101266,37.34610569,262.4916914,170.7008329,234.1746337,86.86433561
05/07/1980,150.6897802,305.8533413,151.1017875,39.40005066,262.4712467,170.673724,234.1332023,87.43261515
05/08/1980,150.7235045,319.5145895,151.4004515,41.47901611,262.4504489,170.6482561,234.0916393,87.97815787
05/09/1980,150.7601703,333.4724487,151.7059821,43.58135515,262.4293165,170.6244253,234.0499564,88.50015338
